Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the�Terms and Conditions�of the Cboe Websites.,,,,
Index P/C Ratios,,,,
Trade_date,Call,Put,Total,P/C Ratio
6/27/2006,264891,569655,834546,2.15
6/28/2006,281443,373082,654525,1.33
6/29/2006,796133,759872,1556005,0.95
6/30/2006,379921,677895,1057816,1.78
7/3/2006,95784,228865,324649,2.39
7/5/2006,239107,683307,922414,2.86
7/6/2006,292658,361894,654552,1.24
7/7/2006,314206,520673,834879,1.66
7/10/2006,234207,463842,698049,1.98
7/11/2006,313353,580620,893973,1.85
7/12/2006,350214,806437,1156651,2.3
7/13/2006,779265,1161036,1940301,1.49
7/14/2006,668731,1213036,1881767,1.81
7/17/2006,479153,869775,1348928,1.82
7/18/2006,710841,1130092,1840933,1.59
7/19/2006,936933,1059094,1996027,1.13
7/20/2006,604902,1098424,1703326,1.82
7/21/2006,579065,1376284,1955349,2.38
7/24/2006,675266,638383,1313649,0.95
7/25/2006,370637,797898,1168535,2.15
7/26/2006,307074,801491,1108565,2.61
7/27/2006,315271,762951,1078222,2.42
7/28/2006,389315,600045,989360,1.54
7/31/2006,236895,347833,584728,1.47
8/1/2006,263090,379817,642907,1.44
8/2/2006,267935,496240,764175,1.85
8/3/2006,286916,449057,735973,1.57
8/4/2006,390241,805270,1195511,2.06
8/7/2006,299669,329780,629449,1.1
8/8/2006,532133,574288,1106421,1.08
8/9/2006,403340,672918,1076258,1.67
8/10/2006,467809,586377,1054186,1.25
8/11/2006,304751,442490,747241,1.45
8/14/2006,583319,589207,1172526,1.01
8/15/2006,751235,816719,1567954,1.09
8/16/2006,949024,990065,1939089,1.04
8/17/2006,846190,1073779,1919969,1.27
8/18/2006,882083,1155618,2037701,1.31
8/21/2006,425578,740800,1166378,1.74
8/22/2006,287444,685400,972844,2.38
8/23/2006,308912,756565,1065477,2.45
8/24/2006,281237,560495,841732,1.99
8/25/2006,203319,307278,510597,1.51
8/28/2006,344822,546452,891274,1.58
8/29/2006,265649,464207,729856,1.75
8/30/2006,277035,496735,773770,1.79
8/31/2006,283781,351041,634822,1.24
9/1/2006,339303,536906,876209,1.58
9/5/2006,261116,485350,746466,1.86
9/6/2006,330218,784431,1114649,2.38
9/7/2006,427549,750009,1177558,1.75
9/8/2006,315715,523941,839656,1.66
9/11/2006,462516,786319,1248835,1.7
9/12/2006,680473,940944,1621417,1.38
9/13/2006,819382,843621,1663003,1.03
9/14/2006,807952,895207,1703159,1.11
9/15/2006,779926,981252,1761178,1.26
9/18/2006,349554,729045,1078599,2.09
9/19/2006,306628,968721,1275349,3.16
9/20/2006,333388,591060,924448,1.77
9/21/2006,441566,627885,1069451,1.42
9/22/2006,356900,520801,877701,1.46
9/25/2006,275681,425836,701517,1.54
9/26/2006,372759,668303,1041062,1.79
9/27/2006,361883,561557,923440,1.55
9/28/2006,331678,415026,746704,1.25
9/29/2006,324065,383435,707500,1.18
10/2/2006,212563,447554,660117,2.11
10/3/2006,285260,507510,792770,1.78
10/4/2006,502816,713392,1216208,1.42
10/5/2006,455122,556086,1011208,1.22
10/6/2006,281205,528105,809310,1.88
10/9/2006,146598,398417,545015,2.72
10/10/2006,427219,532498,959717,1.25
10/11/2006,303254,619026,922280,2.04
10/12/2006,610433,823651,1434084,1.35
10/13/2006,641822,831803,1473625,1.3
10/16/2006,820820,966857,1787677,1.18
10/17/2006,596849,862324,1459173,1.44
10/18/2006,557688,920692,1478380,1.65
10/19/2006,633210,673127,1306337,1.06
10/20/2006,704358,889390,1593748,1.26
10/23/2006,637698,691204,1328902,1.08
10/24/2006,308023,847271,1155294,2.75
10/25/2006,338956,602631,941587,1.78
10/26/2006,516781,648209,1164990,1.25
10/27/2006,297462,739617,1037079,2.49
10/30/2006,241137,394758,635895,1.64
10/31/2006,358464,678243,1036707,1.89
11/1/2006,419430,642018,1061448,1.53
11/2/2006,304229,586860,891089,1.93
11/3/2006,349522,586534,936056,1.68
11/6/2006,310424,434524,744948,1.4
11/7/2006,403146,547982,951128,1.36
11/8/2006,454409,456037,910446,1
11/9/2006,291851,521508,813359,1.79
11/10/2006,250550,409810,660360,1.64
11/13/2006,456548,576953,1033501,1.26
11/14/2006,709662,849190,1558852,1.2
11/15/2006,914635,1144940,2059575,1.25
11/16/2006,787747,956928,1744675,1.21
11/17/2006,659432,1115208,1774640,1.69
11/20/2006,507407,829831,1337238,1.64
11/21/2006,298626,802311,1100937,2.69
11/22/2006,228115,453538,681653,1.99
11/24/2006,135771,370058,505829,2.73
11/27/2006,479986,1258639,1738625,2.62
11/28/2006,388600,609249,997849,1.57
11/29/2006,744896,666842,1411738,0.9
11/30/2006,391909,521990,913899,1.33
12/1/2006,490469,760957,1251426,1.55
12/4/2006,406392,598326,1004718,1.47
12/5/2006,404201,518889,923090,1.28
12/6/2006,345893,625995,971888,1.81
12/7/2006,432690,610684,1043374,1.41
12/8/2006,346127,492915,839042,1.42
12/11/2006,375387,433518,808905,1.15
12/12/2006,535474,779925,1315399,1.46
12/13/2006,511722,774615,1286337,1.51
12/14/2006,1144736,965908,2110644,0.84
12/15/2006,749327,902802,1652129,1.2
12/18/2006,350674,1048016,1398690,2.99
12/19/2006,558379,831760,1390139,1.49
12/20/2006,250432,473885,724317,1.89
12/21/2006,475648,757191,1232839,1.59
12/22/2006,273923,551734,825657,2.01
12/26/2006,153913,265031,418944,1.72
12/27/2006,298016,327823,625839,1.1
12/28/2006,370864,458248,829112,1.24
12/29/2006,230100,474860,704960,2.06
1/3/2007,424811,710457,1135268,1.67
1/4/2007,440914,733121,1174035,1.66
1/5/2007,411163,728985,1140148,1.77
1/8/2007,384145,481911,866056,1.25
1/9/2007,437726,485520,923246,1.11
1/10/2007,477455,684881,1162336,1.43
1/11/2007,625959,688470,1314429,1.1
1/12/2007,575100,651863,1226963,1.13
1/16/2007,515260,901158,1416418,1.75
1/17/2007,435872,798091,1233963,1.83
1/18/2007,664142,1017786,1681928,1.53
1/19/2007,646003,973758,1619761,1.51
1/22/2007,586825,942064,1528889,1.61
1/23/2007,413362,710123,1123485,1.72
1/24/2007,365587,612833,978420,1.68
1/25/2007,400040,1016930,1416970,2.54
1/26/2007,412983,712770,1125753,1.73
1/29/2007,296260,655057,951317,2.21
1/30/2007,259740,493289,753029,1.9
1/31/2007,367834,550560,918394,1.5
2/1/2007,382720,604074,986794,1.58
2/2/2007,330538,556204,886742,1.68
2/5/2007,203882,397136,601018,1.95
2/6/2007,262624,544603,807227,2.07
2/7/2007,349441,541048,890489,1.55
2/8/2007,341482,590664,932146,1.73
2/9/2007,598457,859315,1457772,1.44
2/12/2007,482616,941339,1423955,1.95
2/13/2007,549734,757746,1307480,1.38
2/14/2007,952837,1288145,2240982,1.35
2/15/2007,797291,883360,1680651,1.11
2/16/2007,458383,788713,1247096,1.72
2/20/2007,583742,893356,1477098,1.53
2/21/2007,387666,842232,1229898,2.17
2/22/2007,446873,869520,1316393,1.95
2/23/2007,261554,1012744,1274298,3.87
2/26/2007,324016,630985,955001,1.95
2/27/2007,1060648,3016629,4077277,2.84
2/28/2007,999201,1511497,2510698,1.51
3/1/2007,850794,1958883,2809677,2.3
3/2/2007,826120,1584630,2410750,1.92
3/5/2007,891083,2263211,3154294,2.54
3/6/2007,783663,1485888,2269551,1.9
3/7/2007,620515,1252831,1873346,2.02
3/8/2007,813669,1068901,1882570,1.31
3/9/2007,637093,1021706,1658799,1.6
3/12/2007,630359,988717,1619076,1.57
3/13/2007,822341,1755118,2577459,2.13
3/14/2007,1205989,2963918,4169907,2.46
3/15/2007,1023896,1528616,2552512,1.49
3/16/2007,570752,1180424,1751176,2.07
3/19/2007,620115,756224,1376339,1.22
3/20/2007,542939,757132,1300071,1.39
3/21/2007,910183,1576773,2486956,1.73
3/22/2007,793215,1074326,1867541,1.35
3/23/2007,412370,632466,1044836,1.53
3/26/2007,447253,691349,1138602,1.55
3/27/2007,308188,635738,943926,2.06
3/28/2007,460915,1112127,1573042,2.41
3/29/2007,441872,867064,1308936,1.96
3/30/2007,432116,1030891,1463007,2.39
4/2/2007,373365,496253,869618,1.33
4/3/2007,476441,1011404,1487845,2.12
4/4/2007,322509,618269,940778,1.92
4/5/2007,526345,677113,1203458,1.29
4/9/2007,359271,468349,827620,1.3
4/10/2007,350225,822078,1172303,2.35
4/11/2007,541146,853634,1394780,1.58
4/12/2007,445110,798840,1243950,1.79
4/13/2007,493308,787079,1280387,1.6
4/16/2007,928845,1164825,2093670,1.25
4/17/2007,804231,1028625,1832856,1.28
4/18/2007,782322,1026879,1809201,1.31
4/19/2007,855802,1263485,2119287,1.48
4/20/2007,821494,1060594,1882088,1.29
4/23/2007,552731,971048,1523779,1.76
4/24/2007,442442,1112837,1555279,2.52
4/25/2007,654438,845779,1500217,1.29
4/26/2007,634888,895984,1530872,1.41
4/27/2007,300577,864318,1164895,2.88
4/30/2007,540401,918478,1458879,1.7
5/1/2007,483305,1026645,1509950,2.12
5/2/2007,555230,756130,1311360,1.36
5/3/2007,465604,681171,1146775,1.46
5/4/2007,497286,853140,1350426,1.72
5/7/2007,325068,579222,904290,1.78
5/8/2007,385732,875463,1261195,2.27
5/9/2007,873124,931310,1804434,1.07
5/10/2007,534299,1074245,1608544,2.01
5/11/2007,579375,890565,1469940,1.54
5/14/2007,781544,1166739,1948283,1.49
5/15/2007,839166,1131113,1970279,1.35
5/16/2007,932992,1352961,2285953,1.45
5/17/2007,905016,1099667,2004683,1.22
5/18/2007,686096,1435048,2121144,2.09
5/21/2007,573064,1148792,1721856,2
5/22/2007,316277,1218500,1534777,3.85
5/23/2007,578144,946676,1524820,1.64
5/24/2007,494267,1116071,1610338,2.26
5/25/2007,348201,784253,1132454,2.25
5/29/2007,326655,589949,916604,1.81
5/30/2007,536537,779945,1316482,1.45
5/31/2007,569670,1082703,1652373,1.9
6/1/2007,491072,872250,1363322,1.78
6/4/2007,362747,725373,1088120,2
6/5/2007,863891,1167116,2031007,1.35
6/6/2007,655419,1315840,1971259,2.01
6/7/2007,864297,1777294,2641591,2.06
6/8/2007,717452,1372402,2089854,1.91
6/11/2007,594520,1031809,1626329,1.74
6/12/2007,866030,1515690,2381720,1.75
6/13/2007,811987,1211595,2023582,1.49
6/14/2007,1134819,1236617,2371436,1.09
6/15/2007,777673,1716175,2493848,2.21
6/18/2007,458737,806901,1265638,1.76
6/19/2007,352363,596606,948969,1.69
6/20/2007,618213,1125615,1743828,1.82
6/21/2007,491827,875522,1367349,1.78
6/22/2007,554427,950635,1505062,1.71
6/25/2007,518308,888214,1406522,1.71
6/26/2007,436619,877068,1313687,2.01
6/27/2007,1118093,1133564,2251657,1.01
6/28/2007,499710,742820,1242530,1.49
6/29/2007,666442,1034331,1700773,1.55
7/2/2007,296084,550040,846124,1.86
7/3/2007,296496,499222,795718,1.68
7/5/2007,319312,641926,961238,2.01
7/6/2007,478642,743051,1221693,1.55
7/9/2007,336912,593463,930375,1.76
7/10/2007,656299,1168724,1825023,1.78
7/11/2007,675043,1005941,1680984,1.49
7/12/2007,835601,1107742,1943343,1.33
7/13/2007,603154,1203953,1807107,2
7/16/2007,607684,910782,1518466,1.5
7/17/2007,601185,1029006,1630191,1.71
7/18/2007,775879,1396674,2172553,1.8
7/19/2007,1015299,1254501,2269800,1.24
7/20/2007,941084,2172322,3113406,2.31
7/23/2007,425044,754864,1179908,1.78
7/24/2007,615484,1923403,2538887,3.13
7/25/2007,756088,1410848,2166936,1.87
7/26/2007,1099364,2811024,3910388,2.56
7/27/2007,917014,2087857,3004871,2.28
7/30/2007,1077963,1840100,2918063,1.71
7/31/2007,978346,2025253,3003599,2.07
8/1/2007,973545,1993727,2967272,2.05
8/2/2007,773737,1276235,2049972,1.65
8/3/2007,726467,1969786,2696253,2.71
8/6/2007,1089451,2028760,3118211,1.86
8/7/2007,1033956,1581520,2615476,1.53
8/8/2007,1146049,1847962,2994011,1.61
8/9/2007,947383,1886904,2834287,1.99
8/10/2007,1194388,2193800,3388188,1.84
8/13/2007,1049709,1438558,2488267,1.37
8/14/2007,1044625,1805284,2849909,1.73
8/15/2007,1199368,2307829,3507197,1.92
8/16/2007,1973975,3896176,5870151,1.97
8/17/2007,1304747,2459938,3764685,1.89
8/20/2007,702315,989018,1691333,1.41
8/21/2007,784575,1025605,1810180,1.31
8/22/2007,628444,1263421,1891865,2.01
8/23/2007,620713,1107803,1728516,1.78
8/24/2007,657468,1007323,1664791,1.53
8/27/2007,393101,658594,1051695,1.68
8/28/2007,621950,1215784,1837734,1.95
8/29/2007,559361,793436,1352797,1.42
8/30/2007,450815,662575,1113390,1.47
8/31/2007,435070,781583,1216653,1.8
9/4/2007,578597,1046557,1625154,1.81
9/5/2007,454477,982886,1437363,2.16
9/6/2007,473976,647123,1121099,1.37
9/7/2007,650389,1164508,1814897,1.79
9/10/2007,555020,955796,1510816,1.72
9/11/2007,583435,822360,1405795,1.41
9/12/2007,572453,775171,1347624,1.35
9/13/2007,511510,945497,1457007,1.85
9/14/2007,419201,875751,1294952,2.09
9/17/2007,679059,1042715,1721774,1.54
9/18/2007,1138133,1652260,2790393,1.45
9/19/2007,1319147,1940302,3259449,1.47
9/20/2007,1196593,1774601,2971194,1.48
9/21/2007,881681,1247106,2128787,1.41
9/24/2007,805019,896428,1701447,1.11
9/25/2007,447328,951575,1398903,2.13
9/26/2007,662426,907370,1569796,1.37
9/27/2007,405684,651013,1056697,1.6
9/28/2007,564145,890305,1454450,1.58
10/1/2007,612450,888320,1500770,1.45
10/2/2007,466666,889263,1355929,1.91
10/3/2007,389642,585448,975090,1.5
10/4/2007,472403,647229,1119632,1.37
10/5/2007,772859,838838,1611697,1.09
10/8/2007,339334,540336,879670,1.59
10/9/2007,579320,736091,1315411,1.27
10/10/2007,488278,881459,1369737,1.81
10/11/2007,796426,1274321,2070747,1.6
10/12/2007,514087,723189,1237276,1.41
10/15/2007,735047,994550,1729597,1.35
10/16/2007,726359,965724,1692083,1.33
10/17/2007,1042134,1449187,2491321,1.39
10/18/2007,916189,1136360,2052549,1.24
10/19/2007,1047451,2018170,3065621,1.93
10/22/2007,651231,1148360,1799591,1.76
10/23/2007,569922,1021278,1591200,1.79
10/24/2007,841192,1187675,2028867,1.41
10/25/2007,546128,981969,1528097,1.8
10/26/2007,628261,976201,1604462,1.55
10/29/2007,409786,843456,1253242,2.06
10/30/2007,465317,909516,1374833,1.95
10/31/2007,713129,1084109,1797238,1.52
11/1/2007,837860,1236578,2074438,1.48
11/2/2007,792176,1532529,2324705,1.93
11/5/2007,763619,1241846,2005465,1.63
11/6/2007,867745,1271043,2138788,1.46
11/7/2007,944336,1578005,2522341,1.67
11/8/2007,1470957,2575102,4046059,1.75
11/9/2007,1141510,1747317,2888827,1.53
11/12/2007,1162504,1724523,2887027,1.48
11/13/2007,1204453,2021090,3225543,1.68
11/14/2007,1061135,1386543,2447678,1.31
11/15/2007,1140465,2104798,3245263,1.85
11/16/2007,1003029,1672534,2675563,1.67
11/19/2007,721284,1374724,2096008,1.91
11/20/2007,916279,1492170,2408449,1.63
11/21/2007,920654,1558922,2479576,1.69
11/23/2007,267241,414669,681910,1.55
11/26/2007,610250,916223,1526473,1.5
11/27/2007,609355,1031636,1640991,1.69
11/28/2007,834659,1243197,2077856,1.49
11/29/2007,395652,700865,1096517,1.77
11/30/2007,676077,1179253,1855330,1.74
12/3/2007,364058,495476,859534,1.36
12/4/2007,434621,677267,1111888,1.56
12/5/2007,579025,800597,1379622,1.38
12/6/2007,622810,964766,1587576,1.55
12/7/2007,546659,945169,1491828,1.73
12/10/2007,631214,902884,1534098,1.43
12/11/2007,982275,1502205,2484480,1.53
12/12/2007,739227,1133199,1872426,1.53
12/13/2007,673659,1085974,1759633,1.61
12/14/2007,561084,1046794,1607878,1.87
12/17/2007,896653,1566659,2463312,1.75
12/18/2007,1146478,1528609,2675087,1.33
12/19/2007,866901,1538728,2405629,1.77
12/20/2007,1296956,1467587,2764543,1.13
12/21/2007,2501050,1331561,3832611,0.53
12/24/2007,374239,440576,814815,1.18
12/26/2007,376801,701112,1077913,1.86
12/27/2007,409145,755377,1164522,1.85
12/28/2007,331585,646051,977636,1.95
12/31/2007,410710,773408,1184118,1.88
1/2/2008,717080,1237827,1954907,1.73
1/3/2008,688008,1056822,1744830,1.54
1/4/2008,1133523,1979108,3112631,1.75
1/7/2008,840905,1222927,2063832,1.45
1/8/2008,900137,1806051,2706188,2.01
1/9/2008,1247391,2132281,3379672,1.71
1/10/2008,996369,1426934,2423303,1.43
1/11/2008,911690,1172619,2084309,1.29
1/14/2008,941977,1244647,2186624,1.32
1/15/2008,1088841,1666250,2755091,1.53
1/16/2008,1584845,2440879,4025724,1.54
1/17/2008,1549196,3213305,4762501,2.07
1/18/2008,1304458,2310828,3615286,1.77
1/22/2008,1061802,2059238,3121040,1.94
1/23/2008,1352138,2294397,3646535,1.7
1/24/2008,1008545,1440934,2449479,1.43
1/25/2008,853351,1423365,2276716,1.67
1/28/2008,689811,947939,1637750,1.37
1/29/2008,690727,950956,1641683,1.38
1/30/2008,1129780,1184010,2313790,1.05
1/31/2008,902564,1211900,2114464,1.34
2/1/2008,979751,1222065,2201816,1.25
2/4/2008,526024,858225,1384249,1.63
2/5/2008,780555,1129075,1909630,1.45
2/6/2008,736194,1069872,1806066,1.45
2/7/2008,1013165,1452745,2465910,1.43
2/8/2008,715892,1195507,1911399,1.67
2/11/2008,786946,1102699,1889645,1.4
2/12/2008,1079477,1717155,2796632,1.59
2/13/2008,965162,1180426,2145588,1.22
2/14/2008,1097166,1402416,2499582,1.28
2/15/2008,832539,1436660,2269199,1.73
2/19/2008,676832,1116505,1793337,1.65
2/20/2008,715446,795018,1510464,1.11
2/21/2008,616997,865413,1482410,1.4
2/22/2008,714639,1105783,1820422,1.55
2/25/2008,616006,867684,1483690,1.41
2/26/2008,832910,1193737,2026647,1.43
2/27/2008,538011,961655,1499666,1.79
2/28/2008,489372,876287,1365659,1.79
2/29/2008,830638,1496753,2327391,1.8
3/3/2008,555304,1162686,1717990,2.09
3/4/2008,871520,1320820,2192340,1.52
3/5/2008,697687,1283202,1980889,1.84
3/6/2008,860901,1247262,2108163,1.45
3/7/2008,1062526,1692217,2754743,1.59
3/10/2008,856741,1791028,2647769,2.09
3/11/2008,1178391,1619198,2797589,1.37
3/12/2008,826311,1234960,2061271,1.49
3/13/2008,1043103,1786877,2829980,1.71
3/14/2008,1348582,2182125,3530707,1.62
3/17/2008,1367640,2215562,3583202,1.62
3/18/2008,1374248,1734171,3108419,1.26
3/19/2008,1436998,2212556,3649554,1.54
3/20/2008,986473,1626646,2613119,1.65
3/24/2008,1031134,1130796,2161930,1.1
3/25/2008,669099,890325,1559424,1.33
3/26/2008,713964,1054391,1768355,1.48
3/27/2008,554615,925979,1480594,1.67
3/28/2008,400968,724791,1125759,1.81
3/31/2008,521686,696498,1218184,1.34
4/1/2008,1244038,1250311,2494349,1.01
4/2/2008,779543,1143362,1922905,1.47
4/3/2008,504456,763332,1267788,1.51
4/4/2008,680842,1234787,1915629,1.81
4/7/2008,691354,955595,1646949,1.38
4/8/2008,441598,727537,1169135,1.65
4/9/2008,690031,1063318,1753349,1.54
4/10/2008,661680,848418,1510098,1.28
4/11/2008,764041,1446748,2210789,1.89
4/14/2008,732892,916248,1649140,1.25
4/15/2008,748915,919196,1668111,1.23
4/16/2008,1186746,1409804,2596550,1.19
4/17/2008,1049957,1226891,2276848,1.17
4/18/2008,1245028,1507500,2752528,1.21
4/21/2008,482877,967772,1450649,2
4/22/2008,523927,1141846,1665773,2.18
4/23/2008,462149,750937,1213086,1.62
4/24/2008,771544,1057716,1829260,1.37
4/25/2008,547318,712836,1260154,1.3
4/28/2008,459844,788247,1248091,1.71
4/29/2008,393980,719438,1113418,1.83
4/30/2008,591975,893250,1485225,1.51
5/1/2008,718413,1255097,1973510,1.75
5/2/2008,796102,1105385,1901487,1.39
5/5/2008,487654,788778,1276432,1.62
5/6/2008,780143,1050621,1830764,1.35
5/7/2008,766634,1339918,2106552,1.75
5/8/2008,519943,854588,1374531,1.64
5/9/2008,710455,933945,1644400,1.31
5/12/2008,652485,874138,1526623,1.34
5/13/2008,813376,935516,1748892,1.15
5/14/2008,1186064,1259181,2445245,1.06
5/15/2008,1042448,1112942,2155390,1.07
5/16/2008,985268,1336432,2321700,1.36
5/19/2008,796918,1170414,1967332,1.47
5/20/2008,718520,1282237,2000757,1.78
5/21/2008,759312,1446331,2205643,1.9
5/22/2008,595717,993406,1589123,1.67
5/23/2008,729711,1165124,1894835,1.6
5/27/2008,508036,776831,1284867,1.53
5/28/2008,515737,663856,1179593,1.29
5/29/2008,825662,962803,1788465,1.17
5/30/2008,468481,672194,1140675,1.43
6/2/2008,709258,1127721,1836979,1.59
6/3/2008,636326,1171505,1807831,1.84
6/4/2008,608572,1064420,1672992,1.75
6/5/2008,826424,1300672,2127096,1.57
6/6/2008,1198841,1960987,3159828,1.64
6/9/2008,1138095,1326840,2464935,1.17
6/10/2008,992056,1137953,2130009,1.15
6/11/2008,1060133,1636363,2696496,1.54
6/12/2008,909986,1177153,2087139,1.29
6/13/2008,935915,1083260,2019175,1.16
6/16/2008,956606,1065908,2022514,1.11
6/17/2008,674985,1030070,1705055,1.53
6/18/2008,1117709,1648255,2765964,1.47
6/19/2008,1306651,1684941,2991592,1.29
6/20/2008,1136811,2246345,3383156,1.98
6/23/2008,760664,994822,1755486,1.31
6/24/2008,877074,1230096,2107170,1.4
6/25/2008,1020086,1094871,2114957,1.07
6/26/2008,1129286,1886159,3015445,1.67
6/27/2008,1024783,1588680,2613463,1.55
6/30/2008,1032428,1548036,2580464,1.5
7/1/2008,1408762,1769814,3178576,1.26
7/2/2008,997404,1716813,2714217,1.72
7/3/2008,663054,1168124,1831178,1.76
7/7/2008,1131099,1868348,2999447,1.65
7/8/2008,1196405,1740877,2937282,1.46
7/9/2008,1081003,1351978,2432981,1.25
7/10/2008,1226772,1527749,2754521,1.25
7/11/2008,1550078,2327194,3877272,1.5
7/14/2008,1186000,1834829,3020829,1.55
7/15/2008,1862894,2677699,4540593,1.44
7/16/2008,1738273,1934678,3672951,1.11
7/17/2008,2056828,2068852,4125680,1.01
7/18/2008,1134505,1467851,2602356,1.29
7/21/2008,688007,919569,1607576,1.34
7/22/2008,1029755,1193539,2223294,1.16
7/23/2008,1251449,1709594,2961043,1.37
7/24/2008,884117,1355254,2239371,1.53
7/25/2008,795210,788096,1583306,0.99
7/28/2008,649291,1035343,1684634,1.59
7/29/2008,820183,992767,1812950,1.21
7/30/2008,936567,1103132,2039699,1.18
7/31/2008,695241,1035752,1730993,1.49
8/1/2008,645223,928387,1573610,1.44
8/4/2008,737140,1096096,1833236,1.49
8/5/2008,890825,1027902,1918727,1.15
8/6/2008,1042041,1296204,2338245,1.24
8/7/2008,772470,1130342,1902812,1.46
8/8/2008,1030257,1445649,2475906,1.4
8/11/2008,1433799,1542130,2975929,1.08
8/12/2008,1095588,1630119,2725707,1.49
8/13/2008,1259328,1749783,3009111,1.39
8/14/2008,1611029,1651606,3262635,1.03
8/15/2008,1045878,1594300,2640178,1.52
8/18/2008,851388,1252207,2103595,1.47
8/19/2008,952645,1363167,2315812,1.43
8/20/2008,707868,989110,1696978,1.4
8/21/2008,682263,1045044,1727307,1.53
8/22/2008,550369,748612,1298981,1.36
8/25/2008,504449,927393,1431842,1.84
8/26/2008,507113,630360,1137473,1.24
8/27/2008,592046,607987,1200033,1.03
8/28/2008,828613,799255,1627868,0.96
8/29/2008,614119,845397,1459516,1.38
9/2/2008,745025,1056348,1801373,1.42
9/3/2008,1048751,1154482,2203233,1.1
9/4/2008,1347697,1904490,3252187,1.41
9/5/2008,1286356,1589107,2875463,1.24
9/8/2008,1345570,1417561,2763131,1.05
9/9/2008,1289371,1650582,2939953,1.28
9/10/2008,1053529,1527312,2580841,1.45
9/11/2008,1434362,1834583,3268945,1.28
9/12/2008,1339884,1584777,2924661,1.18
9/15/2008,1393631,2442961,3836592,1.75
9/16/2008,1926803,3195356,5122159,1.66
9/17/2008,2156596,3783204,5939800,1.75
9/18/2008,2267937,3585869,5853806,1.58
9/19/2008,2035051,2450099,4485150,1.2
9/22/2008,986437,1317359,2303796,1.34
9/23/2008,1186090,1571474,2757564,1.32
9/24/2008,924593,1330596,2255189,1.44
9/25/2008,1269291,1257316,2526607,0.99
9/26/2008,939913,1188856,2128769,1.26
9/29/2008,1109724,2300383,3410107,2.07
9/30/2008,1086321,2129964,3216285,1.96
10/1/2008,888580,1202142,2090722,1.35
10/2/2008,982014,2030915,3012929,2.07
10/3/2008,1248340,1981037,3229377,1.59
10/6/2008,1878629,3940090,5818719,2.1
10/7/2008,1802880,2188529,3991409,1.21
10/8/2008,1637151,2511203,4148354,1.53
10/9/2008,1540765,2540398,4081163,1.65
10/10/2008,2172952,3070053,5243005,1.41
10/13/2008,1791410,1893018,3684428,1.06
10/14/2008,1798423,1669565,3467988,0.93
10/15/2008,1673588,2198733,3872321,1.31
10/16/2008,2223352,2885715,5109067,1.3
10/17/2008,1593018,1778679,3371697,1.12
10/20/2008,975859,1027739,2003598,1.05
10/21/2008,1056527,1040089,2096616,0.98
10/22/2008,1136849,1803584,2940433,1.59
10/23/2008,1261466,1965016,3226482,1.56
10/24/2008,894819,1412897,2307716,1.58
10/27/2008,739199,1192786,1931985,1.61
10/28/2008,947659,1477937,2425596,1.56
10/29/2008,1063371,1140812,2204183,1.07
10/30/2008,809823,798870,1608693,0.99
10/31/2008,777731,1008582,1786313,1.3
11/3/2008,621507,808197,1429704,1.3
11/4/2008,999039,1420999,2420038,1.42
11/5/2008,949437,1055794,2005231,1.11
11/6/2008,880609,1561671,2442280,1.77
11/7/2008,699914,857218,1557132,1.22
11/10/2008,636736,866353,1503089,1.36
11/11/2008,755498,1079282,1834780,1.43
11/12/2008,1098183,1481464,2579647,1.35
11/13/2008,1520604,1617862,3138466,1.06
11/14/2008,1062606,1298797,2361403,1.22
11/17/2008,1032001,1059762,2091763,1.03
11/18/2008,1271886,1543328,2815214,1.21
11/19/2008,1383013,2261881,3644894,1.64
11/20/2008,1706341,2673677,4380018,1.57
11/21/2008,1749364,1969559,3718923,1.13
11/24/2008,1193447,1180192,2373639,0.99
11/25/2008,786339,722309,1508648,0.92
11/26/2008,927393,825460,1752853,0.89
11/28/2008,309244,365934,675178,1.18
12/1/2008,789873,898173,1688046,1.14
12/2/2008,652779,820970,1473749,1.26
12/3/2008,687108,1018946,1706054,1.48
12/4/2008,801232,876030,1677262,1.09
12/5/2008,809278,1122991,1932269,1.39
12/8/2008,968242,1043954,2012196,1.08
12/9/2008,967302,921046,1888348,0.95
12/10/2008,816602,961480,1778082,1.18
12/11/2008,1053736,1201492,2255228,1.14
12/12/2008,861422,1016393,1877815,1.18
12/15/2008,797884,977076,1774960,1.22
12/16/2008,1197938,1397409,2595347,1.17
12/17/2008,1096069,1185190,2281259,1.08
12/18/2008,1119164,1126545,2245709,1.01
12/19/2008,911136,899041,1810177,0.99
12/22/2008,558402,562881,1121283,1.01
12/23/2008,454607,512374,966981,1.13
12/24/2008,151341,163630,314971,1.08
12/26/2008,164976,206264,371240,1.25
12/29/2008,415878,627388,1043266,1.51
12/30/2008,425612,509302,934914,1.2
12/31/2008,598400,652539,1250939,1.09
1/2/2009,689489,948502,1637991,1.38
1/5/2009,706521,801720,1508241,1.13
1/6/2009,929740,851323,1781063,0.92
1/7/2009,270579,344896,615475,1.27
1/8/2009,286614,426809,713423,1.49
1/9/2009,723744,926153,1649897,1.28
1/12/2009,811925,1130231,1942156,1.39
